policy_id,policyholder_name,street_number,street_name,unit,city,state,zip,injected_error
POL-000116,Marvin Taylor,325,JEFFERSON COUNTY PKWY,,Golden,CO,80401,clean
POL-000117,Anthony Gray,2502,N WILDER RD,,Plant City,FL,33565,clean
POL-000118,Jamie Walton,122,ASHLAND PL,,Brooklyn,NY,11201,missing_unit
POL-000119,Joshua Cooke,2635,JUNIPER AVE,Suite 417,Boulder,CO,80304,clean
POL-000120,Tiffany Gonzalez,130,5TH ST,Suite 310,West Des Moines,IA,50265,clean
POL-000121,Michael Elliott,519,17TH ST,Apt. 923,Des Moines,IA,50309,clean
POL-000122,Lawrence Adkins,811,CLEVELAND ST,Apt. 745,Clearwater,FL,33755,clean
POL-000123,Tanya Johnston,1507,W REYNOLDS ST,Apt. 241,Plant City,FL,33563,clean
POL-000124,Sandra Sanchez,20,N MOORE ST,Suite 631,New York,NY,10013,clean
POL-000125,Elizabeth Sutton,1507,W REYNOLDS ST,,Plant City,FL,33563,clean
POL-000126,Rebecca Knight,2625,SW R3D AVE,,Miami,FL,33129,misspelling
POL-000127,Joseph Stanley,715,GROVE ST,,Clearwater,FL,33755,clean
POL-000128,Samantha Garcia,99925,FOREST CIR,Apt. 850,Orlando,FL,32803,outdated_address
POL-000129,Joseph Santos,43,E 10TH ST,Suite 726,New York,NY,10003,clean
POL-000130,Samuel Rivas,1380,SW DISTRICT DR,Suite 769,Ankeny,IA,50023,clean
POL-000131,Laura Barnett,301,S GULFVIEW BLVD,Apt. 473,Clearwater,FL,33767,clean
POL-000132,Johnny Nguyen,1315,S ORANGE AVE,,Orlando,FL,32806,clean
POL-000133,Mr. David Ramirez,2701,CANYON BLVD,,Boulder,CO,80302,clean
POL-000134,Angela Cortez,94971,28TH ST,Suite 808,Boulder,CO,80303,outdated_address
POL-000135,Peter Vaughn DDS,2625,SW 3RD AVE,,Miami,FL,33129,clean
POL-000136,Ricky Davis II,33,JEFFERSON TRL,,Landing,NJ,07843,zip_city_mismatch
POL-000137,Elizabeth Perkins,71901,13TH ST,,Boulder,CO,80304,outdated_address
POL-000138,Patrick Rivera,75254,SE DELAWARE AVE,Suite 885,Ankeny,IA,50021,outdated_address
POL-000139,Denise King,3705,CANFIELD ST,,Boulder,CO,80301,missing_unit
POL-000140,Tiffany Vaughn,2261,BLAKE ST,Apt. 351,Denver,CO,80205,clean
POL-000141,Vanessa Warren,1315,S ORANGE AVE,,Orlando,FL,32806,missing_unit
POL-000142,Brian Lee,43,E 10TH ST,,New York,NY,10003,clean
POL-000143,Christopher Smith,1203,MURPHY ST,,Des Moines,IA,50309,clean
POL-000144,Denise Mccann,1380,SW DISTRICT DR,,Ankeny,IA,50023,clean
POL-000145,Melissa Martinez,247,HENRY ST,,New York,NY,10002,clean
POL-000146,Katherine Salas,1309,N LEE ST,,Jacksonville,FL,32209,clean
POL-000147,Vincent King,1035,NW 11TH CT,Suite 777,Miami,FL,33136,clean
POL-000148,Ashley Jones,1456,LAKEVIEW RD,,Clearwater,FL,33756,missing_unit
POL-000149,Robert Avery,327,CORONADOD R,Suite 190,Clearwater,FL,33767,misspelling
POL-000150,David Grant,465,ELAT IST,,Denver,CO,80204,misspelling
POL-000151,Kyle Montgomery,975,N LINCOLN ST,,Denver,CO,80203,clean
POL-000152,Jamie Kerr,665,NW 14 ST,,Miami,FL,33136,missing_unit
POL-000153,Kevin Patterson,2140,JORDAN PL,,Boulder,CO,80304,clean
POL-000154,Amy Choi,20,N MOORE ST,,New York,NY,10013,clean
POL-000155,Brooke Thompson,221,TURNER ST,Apt. 334,Clearwater,FL,33756,clean
POL-000156,Aaron Hayes,1622,SE DELAWARE AVE,,Ankeny,IA,50021,clean
POL-000157,Doris Hall,33,JEFFERSON TRL,,Hopatcong,NJ,07843,clean
POL-000158,Michele Gibson,2525,13TH ST,,Boulder,CO,80304,clean
POL-000159,Tammy French,1541,BRICKELL AVE,,Miami,FL,33129,clean
POL-000160,Mary Peck,465,ELATI ST,,Denver,CO,80204,clean
POL-000161,Joshua Holland,2270,BELL AVE,,Des Moines,IA,50321,clean
POL-000162,Samantha Jones,67486,WELDON RD,,Lake Hopatcong,NJ,07849,outdated_address
POL-000163,Jessica Harrison,1407,WASHINGTON AVE,Apt. 499,Golden,CO,80401,clean
POL-000164,James Nelson,66086,3RD AVE,,New York,NY,10016,outdated_address
POL-000165,Jessica George,1510,TALLEYRAND AVE,,Jacksonville,FL,32206,clean
POL-000166,Darryl Craig,1456,LAKEVIEW RD,Suite 594,Jacksonville,FL,33756,zip_city_mismatch
POL-000167,Casey Stone,172,DARTMOUTH TRL,Apt. 490,Lake Hopatcong,NJ,07843,zip_city_mismatch
POL-000168,Robert Costa,72917,CEDAR AVE,Suite 429,Boulder,CO,80304,outdated_address
POL-000169,Jason Morris,2410,SW WHITE BIRCHD R,,Ankeny,IA,50023,misspelling
POL-000170,Donna Landry,1505,S MCDONALD ST,Apt. 256,Plant City,FL,33563,clean
POL-000171,Brian Barton,800,28TH ST,Apt. 715,Boulder,CO,80303,clean
POL-000172,Joseph Dean,810,W 2DN AVE,Apt. 876,Denver,CO,80223,misspelling
POL-000173,Mr. Anthony Adams Jr.,1912,BRACKLAND ST,,Jacksonville,FL,32206,clean
POL-000174,Stanley Washington,24,CLINTON ST,,Brooklyn,NY,11201,clean
POL-000175,Mark Lloyd,209,E 1ST ST,,Ankeny,IA,50021,clean
POL-000176,Anna Gay,52111,5TH ST,Apt. 480,West Des Moines,IA,50265,outdated_address
POL-000177,Dr. Jordan Hill PhD,2104,GRAYSON WOODS CT,Apt. 712,Plant City,FL,33563,clean
POL-000178,Mrs. Kristen Reyes,108,ALEXANDER WOODS DR,,Plant City,FL,33563,clean
POL-000179,Katie Suarez,4,PEBBLE BEACH RD,,Hopatcong,NJ,07843,clean
POL-000180,Desiree Tyler,1943,GREENWOOD VALLEY DR,,Plant City,FL,33563,clean
POL-000181,Timothy Romero,11,DEERT RL,,Hopatcong,NJ,07843,misspelling
POL-000182,Mary Grimes,714,CLEVELAND ST,Apt. 449,Miami,FL,33755,zip_city_mismatch
POL-000183,Phillip Bennett,145,UNIVERSITY AVE,Suite 875,Des Moines,IA,50314,clean
POL-000184,Scott Jenkins,747,NW 13TH AVE,Suite 339,Miami,FL,33125,clean
POL-000185,Rebecca Pearson MD,1505,SM CDONALD ST,Suite 766,Plant City,FL,33563,misspelling
POL-000186,Beth Sanford,2500,JACKSON ST,,Golden,CO,80401,clean
POL-000187,Joyce Bowen,1543,SW 7THS T,Suite 171,Miami,FL,33135,misspelling
POL-000188,Matthew Moore,888,N ORANGE AVE,,Orlando,FL,32801,clean
POL-000189,Wayne Morgan,805,PARK ST,,Clearwater,FL,33756,clean
POL-000190,Eugene Higgins,1501,S FORT HARRISON AVE,Suite 158,Clearwater,FL,33756,clean
POL-000191,Shelia Johnson,67684,14TH ST,,Denver,CO,80202,outdated_address
POL-000192,Jessica Garcia,407,3RD AVE,Apt. 343,New York,NY,10016,clean
POL-000193,Shelia Wallace,2500,JACKSON ST,,Golden,CO,80401,clean
POL-000194,Stephanie Williams,38,HGIHVIEW TRL,,Wharton,NJ,07885,misspelling
POL-000195,Elaine Brooks,1158,W 6TH ST,,Jacksonville,FL,32209,clean
POL-000196,Rebecca Jackson,1150,NW 8TH STREET RD,Apt. 386,Miami,FL,33136,clean
POL-000197,Seth Harvey,128,LAKESIDE BLVD,,Hopatcong,NJ,07843,clean
POL-000198,Mark Stevens,1831,BRACKLAND ST,Apt. 792,Jacksonville,FL,32206,clean
POL-000199,Stephanie Marshall,2701,CNAYON BLVD,,Boulder,CO,80302,misspelling
POL-000200,Joshua Jones,1608,NW 7TH AVE,,Miami,FL,33136,clean
POL-000201,Victoria Evans,784,E MICHIGAN ST,,Plant City,FL,32806,zip_city_mismatch
POL-000202,Melissa Bryant,73911,ADAMS ST,,Brooklyn,NY,11201,outdated_address
POL-000203,Zachary Castaneda,61046,15TH ST,,Denver,CO,80202,outdated_address
POL-000204,Edward Lyons,707,19TH ST,Apt. 369,Des Moines,IA,50314,clean
POL-000205,Melissa Garner,2041,COLUMBINE AVE,Apt. 640,Boulder,CO,80302,clean
POL-000206,Larry Crawford,99510,NW PRAIRIE LAKES DR,,Ankeny,IA,50023,outdated_address
POL-000207,Connor King,65,BANNOCK ST,Suite 395,Denver,CO,80223,clean
POL-000208,Patricia Becker,175,COLUMBIA HTS,,Brooklyn,NY,11201,missing_unit
POL-000209,Amanda Diaz,90943,19TH ST,Apt. 104,Des Moines,IA,50314,outdated_address
POL-000210,Casey Anderson,1440,28T HST,Apt. 145,Boulder,CO,80303,misspelling
POL-000211,Valerie Schmidt,714,CLEVELAND ST,,Orlando,FL,33755,zip_city_mismatch
POL-000212,Elizabeth Harrell,73,W FLAGLER ST,Suite 247,Miami,FL,33130,clean
POL-000213,Julie Jones,1510,TALLEYRAND AVE,,Jacksonville,FL,32206,clean
POL-000214,James Baker,301,S GULFVIEW BLVD,Apt. 685,Clearwater,FL,33767,clean
POL-000215,Jacob Curry,1100,ASHWORTH RD,,West Des Moines,IA,50265,missing_unit
POL-000216,James Little,57701,UNIVERSITY AVE,,Windsor Heights,IA,50324,outdated_address
POL-000217,Stephen Hoffman,66083,LAKESIDE BLVD,Suite 137,Landing,NJ,07850,outdated_address
POL-000218,Connie Brown,3416,MONCRIEF RD,,Orlando,FL,32209,zip_city_mismatch
POL-000219,Susan Turner,516,E GRAND AVE,,Des Moines,IA,50309,clean
POL-000220,Charles Shah,239,SW 9TH ST,,Miami,FL,33130,missing_unit
POL-000221,Joshua Price,18TH,W 18TH ST,Suite 711,Jacksonville,FL,32209,clean
POL-000222,Brittany Perry,3104,MONCRIEF RD,Suite 869,Jacksonville,FL,32209,clean
POL-000223,John Russell,327,CLINTON ST,,Brooklyn,NY,11231,missing_unit
POL-000224,Amanda Wood,1006,HOMESTAKE DR,,Golden,CO,80401,clean
POL-000225,Trevor Foley,215,ADAMS ST,,Brooklyn,NY,11201,missing_unit
POL-000226,Michael Stephens,13,WABASH TRL,,Andover,NJ,07821,missing_unit
POL-000227,Bryan Charles,1717,N BAYSHOR EDR,Suite 064,Miami,FL,33132,misspelling
POL-000228,Amber Cook,4,PEBBLE BEACH RD,Suite 139,Hopatcong,NJ,07843,clean
POL-000229,Kristen Willis,407,SE DELAWARE AVE,Apt. 931,Ankeny,IA,50021,clean
POL-000230,Crystal Schroeder,54249,IRIS CT,,Boulder,CO,80304,outdated_address
POL-000231,Rebecca Rodriguez,73827,BLAKE ST,Apt. 422,Denver,CO,80202,outdated_address
POL-000232,Bonnie Howard,520,D ST,,Clearwater,FL,33756,missing_unit
POL-000233,Anthony Harmon,324,7T HST,Apt. 950,West Des Moines,IA,50265,misspelling
POL-000234,Nichole Alvarez,2007,S COUNTRYSIDE CIR,,Orlando,FL,32804,clean
POL-000235,Daniel Gilbert,91,WELDON RD,Suite 891,Lake Hopatcong,NJ,07849,clean
POL-000236,Dr. Jessica Rodriguez DDS,25TH,W 25TH ST,,Jacksonville,FL,32209,missing_unit
POL-000237,Steven Morris,3155,N ANKENY BLVD,,Ankeny,IA,50023,clean
POL-000238,Cameron Weber,105,E 17TH ST,,New York,NY,10003,clean
POL-000239,Michelle James,89316,NW 13TH AVE,,Miami,FL,33125,outdated_address
POL-000240,Ricky Wilson,2270,BELL AVE,Suite 789,Des Moines,IA,50321,clean
POL-000241,Sherry Arnold,465,ELTAI ST,,Denver,CO,80204,misspelling
POL-000242,Ronald Ross,1940,BLAKE ST,Apt. 673,Denver,CO,80202,clean
POL-000243,Jacqueline Hernandez,500,WELDON RD,Apt. 565,Lake Hopatcong,NJ,07849,clean
POL-000244,Brent Rodgers,89416,WELDON RD,Suite 111,Lake Hopatcong,NJ,07849,outdated_address
POL-000245,Kristina Santiago,130,5TH ST,,West Des Moines,IA,50265,missing_unit
POL-000246,Lindsay Bell,1233,CEDAR AVE,Suite 560,Boulder,CO,80304,clean
POL-000247,Christy Douglas,2007,S COUNTRYSIDE CIR,,Orlando,FL,32804,clean
POL-000248,Brian Bruce,43,E 10TH ST,,New York,NY,10003,clean
POL-000249,Phillip Andrews,86197,AVENUE OF THE AMERICAS,,New York,NY,10011,outdated_address
POL-000250,Sarah Villegas,1375,S FORT HARRISON AVE,,Clearwater,FL,33756,clean
POL-000251,Michael Parker,225,ADASM ST,Apt. 940,Brooklyn,NY,11201,misspelling
POL-000252,Aaron Kane,1109,W 13TH AVE,,Denver,CO,80204,clean
POL-000253,Jennifer Thomas,70271,E CHURCH ST,,Jacksonville,FL,32202,outdated_address
POL-000254,Amanda Reese,2635,JUNIPER AVE,,Boulder,CO,80304,missing_unit
POL-000255,Jason Peterson,2410,S WWHITE BIRCH DR,,Ankeny,IA,50023,misspelling
POL-000256,Nathan Frank,119,COLUMBUS AVE,,Des Moines,IA,50315,clean
POL-000257,Amber Miller,1162,W CYPRESS ST,Apt. 022,Orlando,FL,32805,clean
POL-000258,Jeff Lawson,810,W 2ND VAE,,Denver,CO,80223,misspelling
POL-000259,Jeffrey Campbell,175,ADMAS ST,Suite 438,Brooklyn,NY,11201,misspelling
POL-000260,Katelyn Estrada,68359,5TH ST,,West Des Moines,IA,50265,outdated_address
POL-000261,James Greene,82939,CLEVELAND ST,,Clearwater,FL,33755,outdated_address
POL-000262,Eric Clark,71178,LAKESIDE BLVD,,Landing,NJ,07850,outdated_address
POL-000263,Jonathan Jordan,1440,28TH ST,,Boulder,CO,80303,missing_unit
POL-000264,Joseph Hall,2502,N WILDER RD,,Plant City,FL,33565,missing_unit
POL-000265,Mary Gomez,1507,W REYNOLDS ST,,Plant City,FL,33563,clean
POL-000266,Blake Edwards,145,UNIVERSITY AVE,,Des Moines,IA,50314,missing_unit
POL-000267,Jared Bowman,83726,BILLINGS RD,,Hopatcong,NJ,07843,outdated_address
POL-000268,Jared Burch,225,ADAMS ST,,Brooklyn,NY,11201,clean
POL-000269,Travis Stevens,2410,SW WHITE IBRCH DR,,Ankeny,IA,50023,misspelling
POL-000270,Heidi Kim,80686,N BAYSHORE DR,,Miami,FL,33132,outdated_address
POL-000271,Blake Harrell,215,ADAMS ST,,Brooklyn,NY,11201,missing_unit
POL-000272,Connie Maxwell,95870,WELLESLEY TRL,,Hopatcong,NJ,07843,outdated_address
POL-000273,Susan Bailey,209,5TH ST,Apt. 818,West Des Moines,IA,50265,clean
POL-000274,Sabrina Briggs,1012,E 4TH AVE,,Denver,CO,80218,clean
POL-000275,Charles Gonzalez,1158,W 6TH ST,,Jacksonville,FL,32209,clean
POL-000276,Justin Riley,138,LAKESIDE BLVD,Apt. 127,Landing,NJ,07850,clean
POL-000277,Sonia Day,2,BILILNGS RD,,Hopatcong,NJ,07843,misspelling
POL-000278,Mrs. Tricia Stewart,728,SE CREEKVIEW DR,,Ankeny,IA,50021,missing_unit
POL-000279,Rebecca Vargas,1233,CEDAR AVE,Suite 177,Boulder,CO,80304,clean
POL-000280,Andrew Wood,130,5TH ST,Suite 814,West Des Moines,IA,50265,clean
POL-000281,Janice Carpenter,665,NW 14 ST,Suite 119,Miami,FL,33136,clean
POL-000282,Nancy Williams,2500,JACKSON ST,,Golden,CO,80401,clean
POL-000283,Laura Lopez,1510,TALLEYRAND AVE,,Jacksonville,FL,32206,clean
POL-000284,Kathryn Rosario,73,W FLAGLER ST,,Miami,FL,33130,clean
POL-000285,Carrie Wright,175,ADAMS ST,Suite 151,Brooklyn,NY,11201,clean
POL-000286,Jeffrey Mills,1400,16TH ST,,Denver,CO,80202,clean
POL-000287,Jake Campbell,71877,WELDON RD,,Lake Hopatcong,NJ,07849,outdated_address
POL-000288,George Harper,407,SE DELAWARE AVE,,West Des Moines,IA,50021,zip_city_mismatch
POL-000289,Maria Jones,301,S GULFVIEW BLVD,,Clearwater,FL,33767,missing_unit
POL-000290,Samuel Brandt,665,NW 14 ST,Apt. 864,Miami,FL,33136,clean
POL-000291,Sydney Collins,75884,OAK ST,Apt. 519,Orlando,FL,32804,outdated_address
POL-000292,Mary Anderson,665,NW 14 ST,,Miami,FL,33136,clean
POL-000293,Angela Hansen,54467,COLUMBINE AVE,,Boulder,CO,80302,outdated_address
POL-000294,Erin Anderson,4,PEBBLE BEACH RD,,Hopatcong,NJ,07843,clean
POL-000295,Theresa Osborn,84481,WABASH TRL,,Andover,NJ,07821,outdated_address
POL-000296,Eric Bean,145,UNIVERSITY VAE,Apt. 685,Des Moines,IA,50314,misspelling
POL-000297,Mrs. Elizabeth French DDS,1068,WELDON RD,Suite 733,Oak Ridge,NJ,07438,clean
POL-000298,Brittany White,2114,BLUE AVE,Apt. 592,Jacksonville,FL,32209,clean
POL-000299,Nathan Montes,2041,COLUMBINE AVE,Apt. 706,Golden,CO,80302,zip_city_mismatch
POL-000300,Nicole Bowers,1541,BRICKELL AVE,,Miami,FL,33129,clean
POL-000301,David Sheppard,209,5HT ST,,West Des Moines,IA,50265,misspelling
POL-000302,Stephanie Lee,1456,LAKEVIEW RD,,Clearwater,FL,33756,clean
POL-000303,Laura Alexander,57262,CLEVELAND ST,,Clearwater,FL,33755,outdated_address
POL-000304,Paula Shaw,215,ADAMS ST,,Brooklyn,NY,11201,clean
POL-000305,David Davidson,511,28TH ST,,Des Moines,IA,50312,missing_unit
POL-000306,Dominique Hines,133,S ORANGE AVE,Suite 818,Orlando,FL,32801,clean
POL-000307,Anna Lozano,67450,W 1ST ST,Suite 782,Jacksonville,FL,32209,outdated_address
